municipio,uf,lat,lon,fonte,score,eco_score,soc_score,env_score,rank
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,Solar,0.4167,0.6667,0.0001,0.5,1
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,H2 Verde,0.3669,0.5421,0.0001,0.5,2
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,Biomassa,0.2919,0.5421,0.0001,0.25,3
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,Eolica,0.2834,0.3334,0.0001,0.5,4
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,Biometano,0.2084,0.3333,0.0001,0.25,5
ABAIARA,CE,-7.389607503333334,-38.988013181666666,H2 Verde,0.2403,0.4585,0.0004,0.1891,1
ABAIARA,CE,-7.389607503333334,-38.988013181666666,Solar,0.239,0.4553,0.0004,0.1891,2
ABAIARA,CE,-7.389607503333334,-38.988013181666666,Biomassa,0.1742,0.2423,0.0004,0.2573,3
ABAIARA,CE,-7.389607503333334,-38.988013181666666,Biometano,0.1242,0.1171,0.0004,0.2573,4
ABAIARA,CE,-7.389607503333334,-38.988013181666666,Eolica,0.1072,0.1257,0.0004,0.1891,5
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,Solar,0.2721,0.5032,0.0002,0.236,1
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,H2 Verde,0.2645,0.4841,0.0002,0.236,2
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,Biomassa,0.2049,0.2889,0.0002,0.2976,3
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,Biometano,0.1446,0.1381,0.0002,0.2976,4
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,Eolica,0.1388,0.1699,0.0002,0.236,5
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,Solar,0.3182,0.4652,0.2506,0.19,1
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,H2 Verde,0.3106,0.446,0.2506,0.19,2
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,Biomassa,0.2539,0.2582,0.2506,0.2516,3
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,Biometano,0.2059,0.1381,0.2506,0.2516,4
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,Eolica,0.19,0.1445,0.2506,0.19,5
ABRE CAMPO,MG,-20.18288989,-42.36562922,Solar,0.4171,0.6671,0.0001,0.5007,1
ABRE CAMPO,MG,-20.18288989,-42.36562922,H2 Verde,0.3672,0.5425,0.0001,0.5007,2
ABRE CAMPO,MG,-20.18288989,-42.36562922,Biomassa,0.2922,0.5425,0.0001,0.2507,3
ABRE CAMPO,MG,-20.18288989,-42.36562922,Eolica,0.2838,0.3338,0.0001,0.5007,4
ABRE CAMPO,MG,-20.18288989,-42.36562922,Biometano,0.2086,0.3333,0.0001,0.2507,5
ABREU E LIMA,PE,-7.92252632,-34.89984764,Biomassa,0.1689,0.1407,0.1253,0.25,1
ABREU E LIMA,PE,-7.92252632,-34.89984764,Biometano,0.145,0.0811,0.1253,0.25,2
ABREU E LIMA,PE,-7.92252632,-34.89984764,Solar,0.1182,0.1256,0.1253,0.1012,3
ABREU E LIMA,PE,-7.92252632,-34.89984764,H2 Verde,0.1096,0.104,0.1253,0.1012,4
ABREU E LIMA,PE,-7.92252632,-34.89984764,Eolica,0.1004,0.0812,0.1253,0.1012,5
ACAILANDIA,MA,-3.670747985,-35.558400954999996,Biomassa,0.1702,0.1441,0.1253,0.25,1
ACAILANDIA,MA,-3.670747985,-35.558400954999996,Biometano,0.1366,0.0601,0.1253,0.25,2
ACAILANDIA,MA,-3.670747985,-35.558400954999996,H2 Verde,0.11,0.097,0.1253,0.1122,3
ACAILANDIA,MA,-3.670747985,-35.558400954999996,Solar,0.1006,0.0733,0.1253,0.1122,4
ACAILANDIA,MA,-3.670747985,-35.558400954999996,Eolica,0.0957,0.0612,0.1253,0.1122,5
ACARA,PA,-2.52591667,-48.79791667,Biomassa,0.1652,0.2253,0.0001,0.25,1
ACARA,PA,-2.52591667,-48.79791667,H2 Verde,0.1177,0.1443,0.0001,0.1999,2
ACARA,PA,-2.52591667,-48.79791667,Biometano,0.1075,0.0811,0.0001,0.25,3
ACARA,PA,-2.52591667,-48.79791667,Solar,0.0924,0.0811,0.0001,0.1999,4
ACARA,PA,-2.52591667,-48.79791667,Eolica,0.0924,0.0811,0.0001,0.1999,4
ACARAU,CE,-2.8898696063157896,-40.04267122631579,H2 Verde,0.2401,0.4583,0.0004,0.1888,1
ACARAU,CE,-2.8898696063157896,-40.04267122631579,Solar,0.2388,0.4551,0.0004,0.1888,2
ACARAU,CE,-2.8898696063157896,-40.04267122631579,Biomassa,0.174,0.2421,0.0004,0.2569,3
ACARAU,CE,-2.8898696063157896,-40.04267122631579,Biometano,0.1241,0.1171,0.0004,0.2569,4
ACARAU,CE,-2.8898696063157896,-40.04267122631579,Eolica,0.124,0.168,0.0004,0.1888,5
ACAUA,PE,-8.51920884,-41.14185238,Biomassa,0.1312,0.1406,0.0,0.25,1
ACAUA,PE,-8.51920884,-41.14185238,Biometano,0.1074,0.0811,0.0,0.25,2
ACAUA,PE,-8.51920884,-41.14185238,Eolica,0.0639,0.0839,0.0,0.1012,3
ACAUA,PE,-8.51920884,-41.14185238,Solar,0.0628,0.0811,0.0,0.1012,4
ACAUA,PE,-8.51920884,-41.14185238,H2 Verde,0.0542,0.0595,0.0,0.1012,5
