municipio,uf,lat,lon,eco_mw_instalado,eco_mw_outorgado,eco_n_plantas,eco_mw_ocioso,eco_share_renovavel,eco_bio_capacidade_m3d,eco_bio_processado_m3d,eco_bio_n_plantas,eco_bio_ociosidade,eco_n_linhas_transmissao,eco_tensao_media_kv,eco_capacidade_subestacao_mva,soc_diversidade_fontes,soc_n_plantas_operacionais,env_co2_evitado_t_ano,env_n_projetos_transmissao,env_bio_producao_m3
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,990,990.0,1,0.0,1.0,,,,,112,425.625,25999.989999999998,1,1.0,520344.0,1018,
ABAIARA,CE,-7.389607503333334,-38.988013181666666,163700,213700.0,6,50000.0,1.0,,,,,40,345.0,15125.0,1,5.0,86040720.0,383,
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,1071900,1071900.0,2,0.0,1.0,,,,,47,313.24285714285713,14955.0,1,2.0,563390640.0,396,
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,36541,107280.3,13,70739.3,0.9778331189622615,,,,,47,313.24285714285713,14955.0,3,7.0,18780213.599999998,396,
ABRE CAMPO,MG,-20.18288989,-42.36562922,15800,15800.0,1,0.0,1.0,,,,,112,425.625,25999.989999999998,1,1.0,8304480.0,1018,
ABREU E LIMA,PE,-7.92252632,-34.89984764,3876,3876.0,3,0.0,0.13312693498452013,,,,,28,315.2631578947368,7640.0,2,3.0,271209.6,222,
ACAILANDIA,MA,-3.670747985,-35.558400954999996,12690,23440.0,4,10750.0,0.038613081166272656,,,,,21,420.0,10616.16,2,3.0,257544.0,244,
ACARA,PA,-2.52591667,-48.79791667,1640,1640.0,1,0.0,0.0,,,,,28,380.5882352941176,18060.0,1,1.0,,419,
ACARAU,CE,-2.8898696063157896,-40.04267122631579,155800,775800.0,19,620000.0,1.0,,,,,40,345.0,15125.0,1,5.0,81888480.0,383,
ACAUA,PE,-8.51920884,-41.14185238,0,37800.0,1,37800.0,0.0,,,,,28,315.2631578947368,7640.0,1,,0.0,222,
ACREUNA,GO,-17.65393059,-50.4769139,30000,30000.0,1,0.0,1.0,,,,,34,286.2564102564103,10976.33,1,1.0,15768000.0,295,
ACU,RN,-5.498486809310345,-37.02624152068965,1243970,4078692.0,87,2834722.0,1.0,,,,,22,284.0,9222.56,2,31.0,653830632.0,290,
ACUCENA,MG,-19.00107167,-42.55934727666667,149240,149240.0,3,0.0,1.0,,,,,112,425.625,25999.989999999998,2,3.0,78440544.0,1018,
ADAMANTINA,SP,-21.58,-51.05472222,15029,15029.6,2,0.6000000000003638,0.0,,,,,78,338.8053097345133,41332.81,1,2.0,,784,
ADUSTINA,BA,-10.613155043999999,-37.98696028,0,210000.0,5,210000.0,0.0,,,,,71,380.63157894736844,19914.15,1,,0.0,852,
AFONSO BEZERRA,RN,-5.409117,-36.492484,29400,29400.0,1,0.0,1.0,,,,,22,284.0,9222.56,1,1.0,15452640.0,290,
AFRANIO,PI,-8.53761,-41.14887436,0,37800.0,1,37800.0,0.0,,,,,37,381.875,5655.0,1,,0.0,338,
AFUA,PA,-0.15667598,-50.38664855,6000,6000.0,1,0.0,0.0,,,,,28,380.5882352941176,18060.0,1,1.0,,419,
AGRESTINA,PE,-4.207998335,-17.97900139,29675,29675.0,2,0.0,1.0,,,,,28,315.2631578947368,7640.0,1,2.0,15597180.0,222,
AGROLANDIA,SC,-27.47467223,-49.87641965,3490,3490.0,2,0.0,1.0,,,,,47,313.24285714285713,14955.0,1,2.0,1834344.0,396,
AGUA BOA,MT,-14.06616956,-52.28454386,24,24.6,1,0.6000000000000014,1.0,,,,,22,357.5,3719.99,1,1.0,12614.4,352,
AGUA CLARA,MS,-19.64226917285714,-52.91906608428571,210030,210030.0,7,0.0,1.0,,,,,30,218.0952380952381,5050.0,2,7.0,110391768.0,269,
AGUA DOCE,SC,-26.631266650714284,-51.79302041285714,175276,175276.0,14,0.0,1.0,,,,,47,313.24285714285713,14955.0,3,14.0,92125065.6,396,
AGUA FRIA DE GOIAS,GO,-15.13377722,-48.01710833,0,9990.0,1,9990.0,0.0,,,,,34,286.2564102564103,10976.33,1,,0.0,295,
AGUAS DE CHAPECO,RS,-27.14,-53.04333333,855000,855000.0,1,0.0,1.0,,,,,99,275.508064516129,19463.33,1,1.0,449388000.0,726,
AGUAS DE SANTA BARBARA,SP,-22.87413056,-49.21534167,10500,10500.0,1,0.0,1.0,,,,,78,338.8053097345133,41332.81,1,1.0,5518800.0,784,
AGUAS DE SAO PEDRO,SP,-23.61194445,-46.65916666,50,50.4,1,0.3999999999999986,0.0,,,,,78,338.8053097345133,41332.81,1,1.0,,784,
AGUAS FRIAS,SC,-26.85333333,-52.90027778,4600,4600.0,1,0.0,1.0,,,,,47,313.24285714285713,14955.0,1,1.0,2417760.0,396,
AGUAS VERMELHAS,MG,-15.52247511,-41.51111691,1720,1720.0,1,0.0,1.0,,,,,112,425.625,25999.989999999998,1,1.0,904032.0,1018,
