municipio,uf,lat,lon,fonte,score,eco_score,soc_score,env_score,data_completeness,rank
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,Solar,0.4528,0.6667,0.1203,0.5,1.0,1
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,Biometano,0.4361,1.0,0.1203,0.0001,0.625,2
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,H2 Verde,0.4029,0.5421,0.1203,0.5,1.0,3
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,Eolica,0.3194,0.3334,0.1203,0.5,1.0,4
ABADIA DOS DOURADOS,MG,-18.48194444,-47.42722222,Biomassa,0.2529,0.5421,0.1203,0.0001,0.875,5
ABAIARA,CE,-7.389607503333334,-38.988013181666666,H2 Verde,0.2782,0.4585,0.1268,0.1891,1.0,1
ABAIARA,CE,-7.389607503333334,-38.988013181666666,Solar,0.2769,0.4553,0.1268,0.1891,1.0,2
ABAIARA,CE,-7.389607503333334,-38.988013181666666,Biometano,0.1829,0.3514,0.1268,0.0145,0.625,3
ABAIARA,CE,-7.389607503333334,-38.988013181666666,Eolica,0.1451,0.1257,0.1268,0.1891,1.0,4
ABAIARA,CE,-7.389607503333334,-38.988013181666666,Biomassa,0.1393,0.2423,0.1268,0.0145,0.875,5
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,Solar,0.3116,0.5032,0.1318,0.236,1.0,1
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,H2 Verde,0.304,0.4841,0.1318,0.236,1.0,2
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,Biometano,0.2339,0.4144,0.1318,0.0953,0.625,3
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,Biomassa,0.1836,0.2889,0.1318,0.0953,0.875,4
ABDON BATISTA,SC,-27.61442056,-51.155503065000005,Eolica,0.1783,0.1699,0.1318,0.236,1.0,5
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,Solar,0.2857,0.4652,0.142,0.19,1.0,1
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,H2 Verde,0.278,0.446,0.142,0.19,1.0,2
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,Biometano,0.2093,0.4144,0.142,0.0032,0.625,3
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,Eolica,0.1574,0.1445,0.142,0.19,1.0,4
ABELARDO LUZ,SC,-26.59254395230769,-52.28960357846154,Biomassa,0.1468,0.2582,0.142,0.0032,0.875,5
ABRE CAMPO,MG,-20.18288989,-42.36562922,Solar,0.4618,0.6671,0.149,0.5007,1.0,1
ABRE CAMPO,MG,-20.18288989,-42.36562922,Biometano,0.4451,1.0,0.149,0.0014,0.625,2
ABRE CAMPO,MG,-20.18288989,-42.36562922,H2 Verde,0.4119,0.5425,0.149,0.5007,1.0,3
ABRE CAMPO,MG,-20.18288989,-42.36562922,Eolica,0.3284,0.3338,0.149,0.5007,1.0,4
ABRE CAMPO,MG,-20.18288989,-42.36562922,Biomassa,0.2621,0.5425,0.149,0.0014,0.875,5
ABREU E LIMA,PE,-7.92252632,-34.89984764,Biometano,0.1426,0.2432,0.1511,0.0,0.625,1
ABREU E LIMA,PE,-7.92252632,-34.89984764,Solar,0.1259,0.1256,0.1511,0.1012,1.0,2
ABREU E LIMA,PE,-7.92252632,-34.89984764,H2 Verde,0.1173,0.104,0.1511,0.1012,1.0,3
ABREU E LIMA,PE,-7.92252632,-34.89984764,Eolica,0.1082,0.0812,0.1511,0.1012,1.0,4
ABREU E LIMA,PE,-7.92252632,-34.89984764,Biomassa,0.1016,0.1407,0.1511,0.0,0.875,5
ACAILANDIA,MA,-3.670747985,-35.558400954999996,H2 Verde,0.1167,0.097,0.1475,0.1122,1.0,1
ACAILANDIA,MA,-3.670747985,-35.558400954999996,Biometano,0.1163,0.1802,0.1475,0.0,0.625,2
ACAILANDIA,MA,-3.670747985,-35.558400954999996,Solar,0.1073,0.0733,0.1475,0.1122,1.0,3
