municipio,uf,lat,lon,fonte,score,eco_score,soc_score,env_score,data_completeness,rank
ALTAMIRA,PA,-5.023673676666667,-53.00614857,H2 Verde,0.5955,0.8109,0.2041,0.6999,1.0,1
ARAPORA,MG,-18.432366655,-49.15421691,Solar,0.5328,0.722,0.2207,0.5925,1.0,1
JANAUBA,MG,-15.898611758437498,-43.46858296916667,Solar,0.5158,0.729,0.1538,0.5935,1.0,1
SAO PAULO,SP,-23.327180273955555,-46.23073796231111,H2 Verde,0.5041,0.3668,0.8081,0.3833,1.0,1
TUCURUI,PA,-3.86946570517934,-49.792045395078915,H2 Verde,0.5037,0.7304,0.126,0.5792,1.0,1
SARZEDO,MG,-20.034535,-44.14586694,Solar,0.5025,0.3334,0.2305,1.0,0.875,1
SARZEDO,MG,-20.034535,-44.14586694,Eolica,0.5025,0.3334,0.2305,1.0,0.875,1
SANTA JULIANA,MG,-19.30230967,-47.46403455,Eolica,0.501,0.3358,0.2223,1.0,0.875,1
SANTA JULIANA,MG,-19.30230967,-47.46403455,Solar,0.501,0.3358,0.2223,1.0,0.875,1
PARACATU,MG,-17.20573228102564,-46.89370004435897,Solar,0.4989,0.7006,0.1684,0.5603,1.0,1
ARINOS,MG,-15.693600048230088,-46.00278102707964,Solar,0.4988,0.7169,0.1317,0.5753,1.0,1
JAIBA,MG,-15.351232854814816,-43.72723194944444,Solar,0.4985,0.6981,0.1673,0.5635,1.0,1
ITURAMA,MG,-19.745739917999998,-50.294712518,Solar,0.498,0.6991,0.1657,0.562,1.0,1
FOZ DO IGUACU,PR,-25.517906576666665,-54.55351852333333,Solar,0.4975,0.7209,0.1791,0.5179,1.0,1
FRONTEIRA,MG,-20.30332534,-49.20185046,Solar,0.4966,0.7088,0.1464,0.564,1.0,1
SAO JOAO BATISTA DO GLORIA,MG,-20.66920345,-46.31825382,Solar,0.4965,0.7027,0.164,0.554,1.0,1
SAO JOSE DA LAPA,MG,-19.70111111,-43.95555556,Eolica,0.4961,0.3333,0.2091,1.0,0.875,1
SAO JOSE DA LAPA,MG,-19.70111111,-43.95555556,Solar,0.4961,0.3333,0.2091,1.0,0.875,1
DELTA,MG,-19.950396904999998,-47.82496964,Solar,0.4958,0.3364,0.2042,1.0,0.875,1
DELTA,MG,-19.950396904999998,-47.82496964,Eolica,0.4958,0.3364,0.2042,1.0,0.875,1
LIMEIRA DO OESTE,MG,-19.3639728825,-50.7042379025,Eolica,0.4937,0.3367,0.1968,1.0,0.875,1
UBERABA,MG,-19.700136639310347,-47.961675431034486,Solar,0.4921,0.3386,0.1889,1.0,0.875,1
UBERABA,MG,-19.700136639310347,-47.961675431034486,Eolica,0.4921,0.3386,0.1889,1.0,0.875,1
CONCEICAO DAS ALAGOAS,MG,-19.9799,-48.2645,Eolica,0.4915,0.335,0.1916,1.0,0.875,1
CONCEICAO DAS ALAGOAS,MG,-19.9799,-48.2645,Solar,0.4915,0.335,0.1916,1.0,0.875,1
CAMPO FLORIDO,MG,-19.809037595,-48.727535415,Solar,0.4914,0.3351,0.1911,1.0,0.875,1
CAMPO FLORIDO,MG,-19.809037595,-48.727535415,Eolica,0.4914,0.3351,0.1911,1.0,0.875,1
CONFINS,MG,-19.63712078,-43.962479,Eolica,0.4911,0.3334,0.1923,1.0,0.875,1
CONFINS,MG,-19.63712078,-43.962479,Solar,0.4911,0.3334,0.1923,1.0,0.875,1
PIRAJUBA,MG,-19.95935386,-48.69663805,Eolica,0.4888,0.3359,0.1815,1.0,0.875,1
PIRAJUBA,MG,-19.95935386,-48.69663805,Solar,0.4888,0.3359,0.1815,1.0,0.875,1
PRUDENTE DE MORAIS,MG,-19.46738079,-44.15820236,Solar,0.4885,0.3334,0.1837,1.0,0.875,1
PRUDENTE DE MORAIS,MG,-19.46738079,-44.15820236,Eolica,0.4885,0.3334,0.1837,1.0,0.875,1
PATOS DE MINAS,MG,-18.58993515777778,-46.51657989333333,Solar,0.4869,0.3335,0.1785,1.0,0.875,1
PATOS DE MINAS,MG,-18.58993515777778,-46.51657989333333,Eolica,0.4869,0.3335,0.1785,1.0,0.875,1
RIBEIRAO DAS NEVES,MG,-19.800822263333334,-44.06813494666667,Solar,0.486,0.3334,0.1754,1.0,0.875,1
RIBEIRAO DAS NEVES,MG,-19.800822263333334,-44.06813494666667,Eolica,0.486,0.3334,0.1754,1.0,0.875,1
DELFINOPOLIS,MG,-20.28626109,-47.06438589,Solar,0.4857,0.6808,0.19,0.5211,1.0,1
BRUMADINHO,MG,-20.116255115,-44.215086355,Solar,0.4855,0.3335,0.1738,1.0,0.875,1
BRUMADINHO,MG,-20.116255115,-44.215086355,Eolica,0.4855,0.3335,0.1738,1.0,0.875,1
LAVRAS,MG,-21.25156075,-44.98800315,Eolica,0.4855,0.3334,0.1738,1.0,0.875,1
LAVRAS,MG,-21.25156075,-44.98800315,Solar,0.4855,0.3334,0.1738,1.0,0.875,1
BELO VALE,MG,-20.44583333,-43.9325,Solar,0.4849,0.3334,0.1717,1.0,0.875,1
BELO VALE,MG,-20.44583333,-43.9325,Eolica,0.4849,0.3334,0.1717,1.0,0.875,1
TIROS,MG,-18.99598197,-45.95738221,Solar,0.4847,0.3334,0.1711,1.0,0.875,1
TIROS,MG,-18.99598197,-45.95738221,Eolica,0.4847,0.3334,0.1711,1.0,0.875,1
ARCOS,MG,-20.285006256666666,-45.567248346666666,Eolica,0.4846,0.3334,0.1708,1.0,0.875,1
ARCOS,MG,-20.285006256666666,-45.567248346666666,Solar,0.4846,0.3334,0.1708,1.0,0.875,1
LAGOA DA PRATA,MG,-20.04878928,-45.539523585,Eolica,0.4846,0.3359,0.1677,1.0,0.875,1
LAGOA DA PRATA,MG,-20.04878928,-45.539523585,Solar,0.4846,0.3359,0.1677,1.0,0.875,1
FRUTAL,MG,-19.983153751666666,-49.03356230833333,Solar,0.4842,0.3384,0.1629,1.0,0.875,1
FRUTAL,MG,-19.983153751666666,-49.03356230833333,Eolica,0.4842,0.3384,0.1629,1.0,0.875,1
SERRA DO SALITRE,MG,-19.06444801,-46.72980199,Solar,0.4836,0.3342,0.1662,1.0,0.875,1
OURO BRANCO,MG,-20.5246084,-43.67546915,Solar,0.4836,0.3364,0.1636,1.0,0.875,1
SERRA DO SALITRE,MG,-19.06444801,-46.72980199,Eolica,0.4836,0.3342,0.1662,1.0,0.875,1
OURO BRANCO,MG,-20.5246084,-43.67546915,Eolica,0.4836,0.3364,0.1636,1.0,0.875,1
ITAGUARA,MG,-20.38138891,-44.48444452,Solar,0.4832,0.3333,0.1661,1.0,0.875,1
ITAGUARA,MG,-20.38138891,-44.48444452,Eolica,0.4832,0.3333,0.1661,1.0,0.875,1
SANTA LUZIA,MG,-19.76761695,-43.85000694,Solar,0.483,0.3333,0.1654,1.0,0.875,1
SANTA LUZIA,MG,-19.76761695,-43.85000694,Eolica,0.483,0.3333,0.1654,1.0,0.875,1
SAO SEBASTIAO DO PARAISO,MG,-20.91128102,-46.99208719,Solar,0.4829,0.3334,0.1652,1.0,0.875,1
SAO SEBASTIAO DO PARAISO,MG,-20.91128102,-46.99208719,Eolica,0.4829,0.3334,0.1652,1.0,0.875,1
MATOZINHOS,MG,-19.552405122499998,-44.07805027,Solar,0.4828,0.3334,0.1648,1.0,0.875,1
MATOZINHOS,MG,-19.552405122499998,-44.07805027,Eolica,0.4828,0.3334,0.1648,1.0,0.875,1
MARTINHO CAMPOS,MG,-19.36769435,-45.26982094,Solar,0.4826,0.3333,0.1643,1.0,0.875,1
MARTINHO CAMPOS,MG,-19.36769435,-45.26982094,Eolica,0.4826,0.3333,0.1643,1.0,0.875,1
CONGONHAS,MG,-20.50321137,-43.91684278,Solar,0.4824,0.3334,0.1634,1.0,0.875,1
CONGONHAS,MG,-20.50321137,-43.91684278,Eolica,0.4824,0.3334,0.1634,1.0,0.875,1
PIRAPORA,MG,-17.369890035294116,-44.887712044705886,Solar,0.4823,0.6908,0.15,0.5366,1.0,1
PRATA,MG,-19.29862078,-48.927979,Solar,0.482,0.3333,0.1624,1.0,0.875,1
PRATA,MG,-19.29862078,-48.927979,Eolica,0.482,0.3333,0.1624,1.0,0.875,1
NOVA PONTE,MG,-19.31395766,-47.711955245,Solar,0.4808,0.6818,0.171,0.5227,1.0,1
DIVINO,MG,-20.14183333,-44.90594444,Solar,0.4807,0.3334,0.1578,1.0,0.875,1
DIVINO,MG,-20.14183333,-44.90594444,Eolica,0.4807,0.3334,0.1578,1.0,0.875,1
ALFENAS,MG,-21.428471805,-45.945255275,Solar,0.4807,0.3334,0.1579,1.0,0.875,1
