municipio,uf,lat,lon,fonte,score,eco_score,soc_score,env_score,rank
ALTAMIRA,PA,-5.023673676666667,-53.00614857,H2 Verde,0.6094,0.8109,0.2503,0.6999,1
TUCURUI,PA,-3.86946570517934,-49.792045395078915,H2 Verde,0.54,0.7304,0.2471,0.5792,1
MURIAE,MG,-21.060958478,-42.39754465,Solar,0.5293,0.6653,0.3754,0.5019,1
CARATINGA,MG,-19.756808033333332,-42.030457866666666,Solar,0.5283,0.6626,0.3755,0.5018,1
PARACATU,MG,-17.20573228102564,-46.89370004435897,Solar,0.5244,0.7006,0.2534,0.5603,1
VARGINHA,MG,-21.581377504444443,-45.44940020111111,Solar,0.5242,0.6525,0.3758,0.5014,1
ITURAMA,MG,-19.745739917999998,-50.294712518,Solar,0.5234,0.6991,0.2504,0.562,1
POCOS DE CALDAS,MG,-21.782359732499998,-46.58448329083333,Solar,0.5186,0.6384,0.3761,0.5015,1
ARAPORA,MG,-18.432366655,-49.15421691,Solar,0.5041,0.722,0.1252,0.5925,1
ARAGUARI,MG,-18.669338192857143,-48.20444323142857,Solar,0.5,0.6719,0.2506,0.5202,1
RAUL SOARES,MG,-20.1033762475,-42.418441135,Solar,0.4924,0.6674,0.2503,0.5011,1
MANHUACU,MG,-20.230407745,-42.0214187825,Solar,0.4921,0.667,0.2504,0.5006,1
FRONTEIRA,MG,-20.30332534,-49.20185046,Solar,0.4903,0.7088,0.1252,0.564,1
JAIBA,MG,-15.351232854814816,-43.72723194944444,Solar,0.4868,0.6981,0.1284,0.5635,1
UNAI,MG,-16.208315875,-46.826181434999995,Solar,0.4851,0.6492,0.2504,0.5012,1
SACRAMENTO,MG,-19.823604473333333,-47.476239,Solar,0.4833,0.6445,0.2505,0.5011,1
FOZ DO IGUACU,PR,-25.517906576666665,-54.55351852333333,Solar,0.4813,0.7209,0.1253,0.5179,1
UBERLANDIA,MG,-18.967014059375,-48.270769658958336,Solar,0.4805,0.4471,0.5042,0.5013,1
PIRAPORA,MG,-17.369890035294116,-44.887712044705886,Solar,0.4754,0.6908,0.127,0.5366,1
BENTO GONCALVES,RS,-29.111261316666667,-51.53244263166667,Solar,0.4752,0.6335,0.3755,0.364,1
NOVA LIMA,MG,-20.091597226666668,-43.891499038333336,Solar,0.4744,0.6223,0.2511,0.5006,1
RIO GRANDE,RS,-31.909793738,-52.273827522000005,Solar,0.4738,0.6311,0.3763,0.3614,1
VARZEA DA PALMA,MG,-17.632069134814813,-44.781210353333336,Solar,0.471,0.6853,0.1264,0.5298,1
JANAUBA,MG,-15.898611758437498,-43.46858296916667,Solar,0.4708,0.729,0.0039,0.5935,1
SELVIRIA,SP,-20.38333333,-51.36653361,H2 Verde,0.4682,0.7687,0.0001,0.5358,1
NOVA PONTE,MG,-19.31395766,-47.711955245,Solar,0.4671,0.6818,0.1252,0.5227,1
TRES MARIAS,MG,-18.201855553333335,-45.14347962666667,Solar,0.4642,0.6784,0.1251,0.5176,1
ALEM PARAIBA,MG,-21.904356399999998,-42.74859087,Solar,0.4625,0.6764,0.1252,0.5148,1
CAXIAS DO SUL,RS,-29.1207864395,-51.136910936,Solar,0.4616,0.6042,0.3768,0.3563,1
ARINOS,MG,-15.693600048230088,-46.00278102707964,Solar,0.4603,0.7169,0.0032,0.5753,1
ANTONIO DIAS,MG,-19.62483794,-42.85895077333333,Solar,0.46,0.6734,0.1253,0.5101,1
SAO JOSE DO RIO PARDO,SP,-21.605273758333336,-46.874370148333334,H2 Verde,0.4596,0.6686,0.2505,0.39,1
ACUCENA,MG,-19.00107167,-42.55934727666667,Solar,0.458,0.6711,0.1253,0.5066,1
FRANCISCO SA,MG,-16.4726483095,-43.566257309,Solar,0.4567,0.6696,0.1253,0.5044,1
COROMANDEL,MG,-18.442309256666665,-47.015917519999995,Solar,0.4558,0.6685,0.1253,0.5027,1
LEOPOLDINA,MG,-21.477469194999998,-42.845181260000004,Solar,0.455,0.6676,0.1252,0.5013,1
SAO GONCALO DO ABAETE,MG,-18.203887265,-45.296110221250004,Solar,0.4549,0.666,0.1256,0.5027,1
GUARACIABA,MG,-20.552259395,-42.989883455,Solar,0.4547,0.6672,0.1252,0.5008,1
SAO GONCALO DO RIO ABAIXO,MG,-19.85326664,-43.316676425,Solar,0.4547,0.6673,0.1252,0.5009,1
SANTANA DO RIACHO,MG,-19.213765445,-43.63873762,Solar,0.4545,0.667,0.1252,0.5005,1
CHALE,MG,-20.01318799,-41.72894881,Solar,0.4545,0.667,0.1252,0.5005,1
GUANHAES,MG,-18.84168627,-42.753810765,Solar,0.4545,0.667,0.1252,0.5004,1
PASSA TEMPO,MG,-20.55375,-44.55027778,Solar,0.4545,0.667,0.1252,0.5004,1
CURVELO,MG,-18.816106723333334,-44.54683843,Solar,0.4544,0.6643,0.1253,0.5037,1
SANTA RITA DE JACUTINGA,MG,-22.15958734,-44.10392639,Solar,0.4544,0.6668,0.1252,0.5003,1
BURITIZEIRO,MG,-17.2387053944086,-45.12671758849462,Eolica,0.4543,0.6667,0.1255,0.5,1
GOUVEIA,MG,-4.65963541,-10.99134983,Solar,0.4543,0.6668,0.1251,0.5002,1
BAEPENDI,MG,-22.023840325000002,-44.831800387499996,Solar,0.4543,0.6668,0.1254,0.5001,1
LASSANCE,MG,-17.832858355,-44.761343117500004,Solar,0.4543,0.6668,0.1251,0.5002,1
PONTE NOVA,MG,-20.403531775,-42.96332415,Solar,0.4543,0.6668,0.1251,0.5001,1
CAMBUI,MG,-11.28125,-23.044166665,Solar,0.4543,0.6667,0.1252,0.5001,1
BURITIZEIRO,MG,-17.2387053944086,-45.12671758849462,Solar,0.4543,0.6667,0.1255,0.5,1
ITABIRITO,MG,-20.234304381999998,-43.82404036,Solar,0.4526,0.5682,0.2504,0.5005,1
MONTES CLAROS,MG,-16.775598192941178,-43.95845184823529,Solar,0.4511,0.6554,0.126,0.5038,1
JOAO MONLEVADE,MG,-19.832500000000003,-43.149305555,Solar,0.4499,0.6555,0.1252,0.5004,1
PEDREIRA,SP,-22.76780959,-46.904321759999995,H2 Verde,0.4495,0.6485,0.2503,0.3833,1
ITAJUBA,MG,-14.939982568333333,-30.294875898333334,Solar,0.4484,0.5579,0.2505,0.5001,1
IJUI,RS,-28.358580424285716,-53.86577747285714,Solar,0.4479,0.5716,0.3756,0.3551,1
PERDIZES,MG,-19.408338084999997,-47.343370144999994,Solar,0.4477,0.6503,0.1252,0.5001,1
SAO JOAO BATISTA DO GLORIA,MG,-20.66920345,-46.31825382,Solar,0.4473,0.7027,0.0001,0.554,1
ARCEBURGO,MG,-21.391179898,-46.926690367999996,Solar,0.4472,0.555,0.2504,0.5001,1
CATALAO,MG,-18.45234934,-47.98477771,Solar,0.4467,0.702,0.0001,0.553,1
SOBRADINHO,BA,-7.9611347299999995,-34.063431195,Solar,0.4462,0.5771,0.2504,0.4672,1
SAO GOTARDO,MG,-19.2601715,-46.074350609999996,Solar,0.4428,0.638,0.1252,0.5,1
PORTO VELHO,RO,-7.581453024736843,-55.56605993210526,H2 Verde,0.4426,0.6158,0.2517,0.4025,1
DELMIRO GOUVEIA,BA,-9.40167063,-38.2037860175,Solar,0.4403,0.6585,0.0004,0.5892,1
MORRO DO CHAPEU,BA,-11.160771500307693,-41.344217818153844,Solar,0.4397,0.6121,0.1299,0.5197,1
ITAUNA,MG,-20.055692895555556,-44.582328814444445,Solar,0.4378,0.5312,0.2507,0.5003,1
SANTA MARIA DE ITABIRA,MG,-19.434810669999997,-43.152767125,Solar,0.4369,0.6234,0.1252,0.5001,1
JULIO DE CASTILHOS,RS,-25.081726252857145,-46.014809312857146,Solar,0.4344,0.6301,0.2506,0.3574,1
NONOAI,RS,-27.384433751666666,-52.792336516666666,Solar,0.4327,0.628,0.2505,0.3543,1
SAO FRANCISCO DE PAULA,RS,-23.370849992,-40.59242012,Solar,0.4326,0.628,0.2504,0.3543,1
