DatGeracaoConjuntoDados;IdeCcd;IdeCcdProprietario;IdeDoc;IdeEpd;IdeOnsEpd;NomEpd;DscEpd;DscSituacaoEpd;DatEfeOprComEpd;DatCaoCgmAtoLgl;DatOprComEpd;IdeObr;DscObr;DscSitObr;NumVdaUtlMdl;DatOprComObr;DscTipObr;IdeMdl;IdeOnsMdl;NomMdl;DscMdl;IdeTipMdl;DscSituacaoModulo;DscTipMdl;SigTipMdl;DscClfMdl;SglClfMdl;DscItmClfMdl;IdeCcoTarReceita;VlrHisRct;DatFimCcd
2026-05-07;6375;6375;;484;T2000-117-B;LT Picos / Tauá;Construção do 1° circuito, em 230 kV, ligando a SE Picos à SE Tauá II e instalações associadas nas SE Picos e SE Tauá.;Em Operação;17/04/2014;14/12/2008;30/04/2014;2877;Construção do 1° circuito da LT 230 kV Picos / Tauá II, com extensão de 183,2 km, em circuito simples.;Em operação;;16/04/2014;Instalação;2557;LTR-PIPIC-2TAA-1CE;LT 230 kV PICOS /TAUA II C-1 PI/CE;;4;LT 230 kV PICOS /TAUA II C-1 PI/CE;Módulo Linha de Transmissão;LT;Composição da Rede Básica;RB;Rede Básica;20;10919815,2400000000;14/06/2037
2026-05-07;6375;6375;;484;T2000-117-B;LT Picos / Tauá;Construção do 1° circuito, em 230 kV, ligando a SE Picos à SE Tauá II e instalações associadas nas SE Picos e SE Tauá.;Em Operação;17/04/2014;14/12/2008;30/04/2014;2878;Instalar, na SE Picos, um reator de barra trifásico RT1 230 kV - 15 Mvar.;Em operação;20;16/04/2014;Instalação;13467;REA-PIPIC-2RT2;RTB 230 kV 16,61 Mvar PICOS RT1 PI;;3;RTB 230 kV 16,61 Mvar PICOS RT1 PI;Módulo Equipamento;ME;Composição da Rede Básica;RB;Rede Básica;20;10919815,2400000000;14/06/2037
2026-05-07;6375;6375;;484;T2000-117-B;LT Picos / Tauá;Construção do 1° circuito, em 230 kV, ligando a SE Picos à SE Tauá II e instalações associadas nas SE Picos e SE Tauá.;Em Operação;17/04/2014;14/12/2008;30/04/2014;2879;Instalar, na SE Tauá II, um reator de barra trifásico RT1 230 kV - 15 Mvar.;Em operação;20;16/04/2014;Instalação;13385;REA-CETAD-2RT1;RTB 230 kV 16,61 Mvar TAUA II RT1 CE;;3;RTB 230 kV 16,61 Mvar TAUA II RT1 CE;Módulo Equipamento;ME;Composição da Rede Básica;RB;Rede Básica;20;10919815,2400000000;14/06/2037
2026-05-07;6375;6375;;484;T2000-117-B;LT Picos / Tauá;Construção do 1° circuito, em 230 kV, ligando a SE Picos à SE Tauá II e instalações associadas nas SE Picos e SE Tauá.;Em Operação;17/04/2014;14/12/2008;30/04/2014;2880;Instalar, na SE Picos, uma entrada de linha, em 230 kV, barra principal e transferência, para o 1° circuito da LT 230 kV Picos / Tauá II.;Em operação;;16/04/2014;Instalação;2558;LTR-PIPIC-2TAA-1CE;EL 230 kV PICOS LT 230 kV PICOS /TAUA II C-1 PI/CE;;2;EL 230 kV PICOS LT 230 kV PICOS /TAUA II C-1 PI/CE;Módulo de Manobra;MM;Composição da Rede Básica;RB;Rede Básica;20;10919815,2400000000;14/06/2037
2026-05-07;6375;6375;;484;T2000-117-B;LT Picos / Tauá;Construção do 1° circuito, em 230 kV, ligando a SE Picos à SE Tauá II e instalações associadas nas SE Picos e SE Tauá.;Em Operação;17/04/2014;14/12/2008;30/04/2014;2881;Instalar, na SE Tauá II, uma entrada de linha, em 230 kV, arranjo barra dupla a quatro chaves, para o 1° circuito da LT 230 kV Picos / Tauá II.;Em operação;;16/04/2014;Instalação;2559;LTR-PIPIC-2TAA-1CE;EL 230 kV TAUA II LT 230 kV PICOS /TAUA II C-1 PI/CE;;2;EL 230 kV TAUA II LT 230 kV PICOS /TAUA II C-1 PI/CE;Módulo de Manobra;MM;Composição da Rede Básica;RB;Rede Básica;20;10919815,2400000000;14/06/2037
2026-05-07;6375;6375;;484;T2000-117-B;LT Picos / Tauá;Construção do 1° circuito, em 230 kV, ligando a SE Picos à SE Tauá II e instalações associadas nas SE Picos e SE Tauá.;Em Operação;17/04/2014;14/12/2008;30/04/2014;2882;Instalar, na SE Tauá II, um módulo de conexão manobrável, em 230 kV, para o reator de barra trifásico RT1 230 kV - 15 Mvar.;Em operação;;16/04/2014;Instalação;19286;REA-CETAD-2RT1;MC 230 kV RTB 230 kV 16,61 Mvar TAUA II RT1 CE;Módulo de conexão manobrável, em 230 kV, para o reator de barra trifásico RT1 230 kV - 15 Mvar.;2;MC 230 kV RTB 230 kV 16,61 Mvar TAUA II RT1 CE;Módulo de Manobra;MM;Composição da Rede Básica;RB;Rede Básica;20;10919815,2400000000;14/06/2037
2026-05-07;6375;6375;;484;T2000-117-B;LT Picos / Tauá;Construção do 1° circuito, em 230 kV, ligando a SE Picos à SE Tauá II e instalações associadas nas SE Picos e SE Tauá.;Em Operação;17/04/2014;14/12/2008;30/04/2014;2883;Instalar, na SE Picos, um módulo de conexão manobrável, em 230 kV, para o reator de barra trifásico RT1 230 kV - 15 Mvar.;Em operação;;16/04/2014;Instalação;19287;REA-PIPIC-2RT2;MC 230 kV RTB 230 kV 16,61 Mvar PICOS RT1 PI;Módulo de conexão manobrável, em 230 kV, para o reator de barra trifásico RT1 230 kV - 15 Mvar.;2;MC 230 kV RTB 230 kV 16,61 Mvar PICOS RT1 PI;Módulo de Manobra;MM;Composição da Rede Básica;RB;Rede Básica;20;10919815,2400000000;14/06/2037
2026-05-07;6375;6375;;691;T2000-117-A;LT Paraíso / Açu II (C2);Construção do 2° circuito, em 230 kV, ligando a SE Paraíso à SE Açu II e instalações associadas nas SE Paraíso e SE Açu II.;Em Operação;23/09/2010;14/12/2008;23/09/2010;4368;Construção do 2° circuito da LT 230 kV Paraíso / Açu II, com extensão de 135 km, em circuito simples.;Em operação;;23/09/2010;Instalação;3547;LTR-RNPRS-2ACD-2;LT 230 kV PARAISO /ACU II C-2 RN;;4;LT 230 kV PARAISO /ACU II C-2 RN;Módulo Linha de Transmissão;LT;Composição da Rede Básica;RB;Rede Básica;20;4555906,1300000000;14/06/2037
2026-05-07;6375;6375;;691;T2000-117-A;LT Paraíso / Açu II (C2);Construção do 2° circuito, em 230 kV, ligando a SE Paraíso à SE Açu II e instalações associadas nas SE Paraíso e SE Açu II.;Em Operação;23/09/2010;14/12/2008;23/09/2010;4369;Instalar, na SE Paraíso, uma entrada de linha, em 230 kV, arranjo barra dupla a quatro chaves, para o 2° circuito da LT 230 kV Paraíso / Açu II.;Em operação;;23/09/2010;Instalação;3548;LTR-RNPRS-2ACD-2;EL 230 kV PARAISO LT 230 kV PARAISO /ACU II C-2 RN;;2;EL 230 kV PARAISO LT 230 kV PARAISO /ACU II C-2 RN;Módulo de Manobra;MM;Composição da Rede Básica;RB;Rede Básica;20;4555906,1300000000;14/06/2037
2026-05-07;6375;6375;;691;T2000-117-A;LT Paraíso / Açu II (C2);Construção do 2° circuito, em 230 kV, ligando a SE Paraíso à SE Açu II e instalações associadas nas SE Paraíso e SE Açu II.;Em Operação;23/09/2010;14/12/2008;23/09/2010;4370;Instalar, na SE Açu II, uma entrada de linha, em 230 kV, arranjo barra dupla a cinco chaves, para o 2° circuito da LT 230 kV Paraíso / Açu II.;Em operação;;23/09/2010;Instalação;3549;LTR-RNPRS-2ACD-2;EL 230 kV ACU II LT 230 kV PARAISO /ACU II C-2 RN;;2;EL 230 kV ACU II LT 230 kV PARAISO /ACU II C-2 RN;Módulo de Manobra;MM;Composição da Rede Básica;RB;Rede Básica;20;4555906,1300000000;14/06/2037
